p,ford,fI,fII
1000764601,3420,409,161
1000764769,4770,544,251
1000765609,3900,432,218
1000765921,3234,356,183
1000766209,3342,403,154
1000767961,4128,499,189
1000768609,2826,339,132
1000769569,4434,554,185
1000770289,3552,386,206
1000771081,3840,451,189
1000771129,4230,496,209
1000771969,4182,500,197
1000772089,4326,517,204
1000773001,3036,357,149
1000773481,3306,392,159
1000775161,2544,292,132
1000775689,3834,452,187
1000776001,3114,358,161
1000776121,3528,415,173
1000776289,3738,428,195
1000777201,3336,402,154
1000777801,3522,398,189
1000778041,3852,431,211
1000778209,3840,438,202
1000780201,3294,371,178
1000780321,4182,503,194
1000781161,2682,316,131
1000782001,3486,400,181
1000782241,3108,358,160
1000785601,3462,409,168
1000786081,3564,386,208
1000786441,3948,454,204
1000787761,3420,397,173
1000787881,3156,362,164
1000788601,4656,545,231
1000788889,3444,403,171
